City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,Yura,-16.2522,-71.6797,295.44,21,20,4.63,PE,1697143057
240,Acajutla,13.5928,-89.8275,302.39,74,47,2.5,SV,1697142902
241,Ishigaki,24.3448,124.1572,297.22,88,75,4.63,JP,1697143057
242,Ancud,-41.8697,-73.8203,283.17,68,49,1.31,CL,1697143057
243,Hobyo,5.3505,48.5268,300.12,83,1,4.58,SO,1697143057
244,Manokwari,-0.8667,134.0833,299.01,78,75,1.6,ID,1697143057
245,Ouezzane,34.7971,-5.5822,296.44,45,4,0.65,MA,1697143057
246,Nova Sintra,14.8667,-24.7167,297.7,77,99,2.26,CV,1697143057
247,Hinton,53.4001,-117.5857,286.54,57,17,1.73,CA,1697143057
248,Bhimunipatnam,17.8833,83.4333,298.83,79,42,0.95,IN,1697143057
249,Yeppoon,-23.1333,150.7333,287.03,78,0,2.1,AU,1697142471
250,Luderitz,-26.6481,15.1594,288.46,76,0,9.36,NA,1697142927
251,Yuncheng,35.0231,110.9928,287.17,78,48,1.04,CN,1697143058
252,Richmond,37.5538,-77.4603,298.75,49,20,2.06,US,1697142779
253,Santa Maria Da Vitoria,-13.3947,-44.1886,304.98,24,2,1.67,BR,1697143058
254,Berezovyy,51.6667,135.7,281.17,78,92,2.92,RU,1697143058
255,Khovd,48.0056,91.6419,280.99,43,3,1.93,MN,1697143038
256,Howard Springs,-12.497,131.047,298.61,80,10,0.97,AU,1697142934
257,George Town,5.4112,100.3354,300.11,93,20,1.54,MY,1697142869
258,Nikolayevsk-On-Amure,53.1406,140.73,280.52,80,96,2.31,RU,1697143058
259,Chui,-33.6971,-53.4616,282.79,63,1,5.0,UY,1697143058
260,Fisterra,42.9049,-9.2629,296.34,84,100,8.12,ES,1697143058
261,Talnakh,69.4865,88.3972,271.6,98,100,1.55,RU,1697142982
262,Opuwo,-18.0607,13.84,295.51,30,5,2.44,NA,1697143059
263,Kapoeta,4.7717,33.5903,300.38,54,100,1.92,SS,1697143059
264,Kill Devil Hills,36.0307,-75.676,294.25,74,100,1.54,US,1697143059
265,Galesong,-5.3166,119.3661,295.16,65,95,2.17,ID,1697143059
266,Karratha,-20.7377,116.8463,300.17,33,2,4.52,AU,1697143059
267,Fale Old Settlement,-9.3852,-171.2468,301.44,79,29,7.96,TK,1697143059
268,Antonio Enes,-16.2325,39.9086,297.96,81,27,5.83,MZ,1697143059
269,Nar'Yan-Mar,67.6713,53.087,274.32,76,100,4.02,RU,1697142796
270,Twin Falls,42.3505,-114.6445,285.34,47,20,6.69,US,1697143059
271,Waingapu,-9.6567,120.2641,298.04,84,72,3.01,ID,1697143059
272,Tiaret,35.371,1.317,290.84,16,0,2.57,DZ,1697143060
273,Hastings,50.8552,0.5729,290.53,46,100,5.98,GB,1697143060
274,Lobujya,27.95,86.8167,266.84,43,0,2.56,NP,1697143060
275,Phatthalung,7.5,100.0833,298.64,87,65,1.87,TH,1697143060
276,Naze,28.3667,129.4833,296.66,72,74,7.76,JP,1697143060
277,Okhotsk,59.3833,143.3,268.22,93,38,1.47,RU,1697143060
278,Miyako,39.6367,141.9525,284.63,76,3,3.0,JP,1697143060
279,Keflavik,64.0049,-22.5624,277.39,75,75,11.32,IS,1697143060
280,Sos'Va,59.1766,61.8558,274.85,94,100,6.26,RU,1697143060
281,Tangalle,6.024,80.7911,297.7,89,100,3.25,LK,1697143017
282,San Luis De La Loma,17.2706,-100.8939,301.93,80,42,2.6,MX,1697143061
283,Leava,-14.3,-178.1667,298.23,91,100,5.4,WF,1697143061
284,Naka,36.05,140.1667,291.32,87,28,2.15,JP,1697143061
285,Moranbah,-22.0016,148.0466,291.98,60,2,2.79,AU,1697143061
286,Viedma,-40.8135,-62.9967,288.95,33,44,6.06,AR,1697143061
287,Muleshoe,34.2265,-102.7238,299.95,17,0,11.25,US,1697143061
288,Federacion,-31.0062,-57.8996,289.59,49,1,4.29,AR,1697143061
289,Kamennomostskoye,43.7372,43.0514,279.99,42,6,2.26,RU,1697143061
290,Amga,60.8953,131.9608,275.36,97,100,0.89,RU,1697143061
291,Langsa,4.4683,97.9683,296.85,96,100,1.05,ID,1697143062
292,Pampierstad,-27.7832,24.6877,288.55,56,3,1.35,ZA,1697143062
293,Lata,40.1629,-8.3327,294.22,52,29,1.53,PT,1697143062
294,Bathsheba,13.2167,-59.5167,303.49,70,20,5.14,BB,1697143062
295,Petropavlovsk-Kamchatsky,53.0452,158.6483,276.18,73,75,6.71,RU,1697143062
296,Cidreira,-30.1811,-50.2056,288.3,66,100,5.19,BR,1697142955
297,Port Antonio,18.18,-76.4612,306.1,75,97,6.01,JM,1697143062
298,Al Kharj,24.155,47.3346,303.47,16,0,2.32,SA,1697143062
299,Kuching,1.55,110.3333,301.49,96,20,0.0,MY,1697143062
300,Bati,11.1833,40.0167,294.39,56,93,1.32,ET,1697143062
301,Montana,43.4125,23.225,289.51,50,4,1.42,BG,1697143062
302,Hithadhoo,-0.6,73.0833,300.46,72,92,5.44,MV,1697143063
303,New Norfolk,-42.7826,147.0587,282.87,78,100,2.78,AU,1697142935
304,Arraial Do Cabo,-22.9661,-42.0278,300.13,73,0,5.66,BR,1697142942
305,Shiloh,38.5614,-89.8973,300.0,47,0,5.66,US,1697143063
306,Hotan,37.0997,79.9269,288.42,24,0,1.67,CN,1697142990
307,Chilecito,-29.1619,-67.4974,292.51,25,2,5.45,AR,1697143063
308,Windhoek,-22.5594,17.0832,293.26,20,0,1.54,NA,1697142907
309,Gubkinskiy,64.434,76.5026,274.39,93,100,3.22,RU,1697143063
310,Mount Isa,-20.7333,139.5,297.02,27,9,4.63,AU,1697143063
311,Coahuayana De Hidalgo,18.7,-103.6583,301.48,80,78,1.74,MX,1697143063
312,Saint-Pierre,-21.3393,55.4781,295.97,78,75,2.06,RE,1697143063
313,Egilsstadir,65.2653,-14.3948,277.1,87,100,9.77,IS,1697143063
314,Andi,42.7836,46.2617,271.96,67,0,2.06,RU,1697143064
315,Guane,22.2025,-84.0875,304.05,67,83,5.87,CU,1697143064
316,Swift Current,50.2834,-107.8014,279.6,81,100,6.69,CA,1697143064
317,Weno,7.4515,151.8468,300.12,94,100,1.54,FM,1697143020
318,Bam,29.106,58.357,300.58,16,2,3.53,IR,1697143020
319,Guerrero Negro,27.9769,-114.0611,295.19,56,1,6.88,MX,1697143064
320,Newman,37.3138,-121.0208,297.2,37,4,2.68,US,1697142856
321,Gannan,47.9147,123.5031,283.58,52,0,2.28,CN,1697143064
322,Northwest Harborcreek,42.1494,-79.9946,289.4,70,0,4.63,US,1697143064
323,Tommot,58.9564,126.2925,283.81,67,76,8.12,RU,1697143064
324,Puerto Quijarro,-17.7833,-57.7667,311.35,26,26,2.37,BO,1697143064
325,Okehampton,50.7384,-4.0016,288.66,97,100,4.16,GB,1697143064
326,La'Ie,21.6477,-157.9253,303.13,66,1,2.24,US,1697143065
327,Virginia Beach,36.8529,-75.978,296.51,68,40,3.6,US,1697142822
328,Hammerfest,70.6634,23.6821,275.4,87,75,2.06,NO,1697143065
329,Ellsworth,44.5434,-68.4195,288.78,89,100,3.6,US,1697143065
